,name,ticker,equityType,sicSector,sicIndustry,ticker_classification
172,ENERPAC TOOL GROUP CORP,EPAC,Domestic Common Stock,Manufacturing,Misc Industrial & Commercial Machinery & Equipment,mid
184,ACUITY BRANDS INC,AYI,Domestic Common Stock,Manufacturing,Electric Lighting & Wiring Equipment,mid
200,ADAPTIMMUNE THERAPEUTICS PLC,ADAP,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),small
203,ADEPTUS HEALTH INC,ADPTQ,Domestic Common Stock,Services,Services-Hospitals,mid
208,ADOBE INC,ADBE,Domestic Common Stock,Services,Services-Prepackaged Software,large
230,ADTRAN HOLDINGS INC,ADTN,Domestic Common Stock,Manufacturing,Telephone & Telegraph Apparatus,mid
232,ADVANCE AUTO PARTS INC,AAP,Domestic Common Stock,Retail Trade,Retail-Auto & Home Supply Stores,large
236,ADVISORY BOARD CO,ABCO,Domestic Common Stock,Services,Services-Management Services,mid
239,AECOM,ACM,Domestic Common Stock,Services,Services-Engineering Services,mid
249,AEGERION PHARMACEUTICALS INC,AEGR,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
254,AERIE PHARMACEUTICALS INC,AERI,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
264,AEROPOSTALE INC,AROPQ,Domestic Common Stock,Retail Trade,Retail-Apparel & Accessory Stores,mid
265,AETNA INC,AET,Domestic Common Stock,Finance Insurance And Real Estate,Hospital & Medical Service Plans,large
288,AFFILIATED MANAGERS GROUP INC,AMG,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Investment Advice,large
311,AGILENT TECHNOLOGIES INC,A,Domestic Common Stock,Manufacturing,Laboratory Analytical Instruments,large
322,AGENUS INC,AGEN,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
324,AGIOS PHARMACEUTICALS INC,AGIO,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
325,AGRIUM INC,AGU,Canadian Common Stock,Manufacturing,Agricultural Chemicals,mid
327,AIMMUNE THERAPEUTICS INC,AIMT,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
329,AIR METHODS CORP,AIRM,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,mid
332,AIR PRODUCTS & CHEMICALS INC,APD,Domestic Common Stock,Manufacturing,Industrial Inorganic Chemicals,large
349,AIRGAS INC,ARG,Domestic Common Stock,Wholesale Trade,Wholesale-Industrial Machinery & Equipment,large
351,AKAMAI TECHNOLOGIES INC,AKAM,Domestic Common Stock,Services,Services-Business Services Nec,large
352,AKORN INC,AKRXQ,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
359,ALARMCOM HOLDINGS INC,ALRM,Domestic Common Stock,Services,Services-Prepackaged Software,mid
361,ALASKA AIR GROUP INC,ALK,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,mid
370,ALBEMARLE CORP,ALB,Domestic Common Stock,Manufacturing,Plastic Materials Synth Resins & Nonvulcan Elastomers,large
377,ALERE INC,ALR1,Domestic Common Stock Primary Class,Manufacturing,In Vitro & In Vivo Diagnostic Substances,mid
379,ALEXANDRIA REAL ESTATE EQUITIES INC,ARE,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
381,ALEXION PHARMACEUTICALS INC,ALXN,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,large
404,ALIBABA GROUP HOLDING LTD,BABA,ADR Common Stock,Services,Services-Business Services Nec,mid
417,ALIGN TECHNOLOGY INC,ALGN,Domestic Common Stock,Manufacturing,Orthopedic Prosthetic & Surgical Appliances & Supplies,mid
434,ATI INC,ATI,Domestic Common Stock,Manufacturing,Steel Pipe & Tubes,large
436,ALLERGAN INC,AGN1,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,large
446,BREAD FINANCIAL HOLDINGS INC,BFH,Domestic Common Stock,Services,Services-Business Services Nec,large
465,ALLISON TRANSMISSION HOLDINGS INC,ALSN,Domestic Common Stock,Manufacturing,Motor Vehicle Parts & Accessories,mid
476,VERADIGM INC,MDRX,Domestic Common Stock,Services,Services-Computer Integrated Systems Design,mid
478,ALLSTATE CORP,ALL,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,large
492,ALNYLAM PHARMACEUTICALS INC,ALNY,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
494,ALPHABET INC,GOOGL,Domestic Common Stock Primary Class,Services,Services-Computer Programming Data Processing Etc.,large
508,ALTERA CORP,ALTR1,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,large
519,ALTRIA GROUP INC,MO,Domestic Common Stock,Manufacturing,Cigarettes,large
541,AMAZON COM INC,AMZN,Domestic Common Stock,Retail Trade,Retail-Catalog & Mail-Order Houses,large
565,AMEDISYS INC,AMED,Domestic Common Stock,Services,Services-Home Health Care Services,mid
566,AMERICA MOVIL SAB DE CV,AMOV,ADR Common Stock Secondary Class,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),large
567,AMERICAN AIRLINES GROUP INC,AAL,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,mid
569,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AXL,Domestic Common Stock,Manufacturing,Motor Vehicle Parts & Accessories,mid
581,AMERICAN CAMPUS COMMUNITIES INC,ACC,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
594,AGNC INVESTMENT CORP,AGNCP1,Domestic Preferred Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
599,MTGE INVESTMENT CORP,MTGE,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
601,AMERICAN ELECTRIC POWER CO INC,AEP,Domestic Common Stock Primary Class,Transportation Communications Electric Gas And Sanitary Service,Electric Services,large
609,AMERICAN EAGLE OUTFITTERS INC,AEO,Domestic Common Stock,Retail Trade,Retail-Family Clothing Stores,large
616,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,AEL,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Life Insurance,mid
619,AMERICAN EXPRESS CO,AXP,Domestic Common Stock,Finance Insurance And Real Estate,Finance Services,large
639,AMERICAN HOMES 4 RENT,AMH,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
641,AMERICAN INTERNATIONAL GROUP INC,AIG,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,large
664,AMERICAN PUBLIC EDUCATION INC,APEI,Domestic Common Stock,Services,Services-Educational Services,mid
667,AMERICAN SOFTWARE INC,AMSWA,Domestic Common Stock,Services,Services-Prepackaged Software,mid
677,AMERICAN TOWER CORP,AMT,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,large
682,AMERICAN WATER WORKS COMPANY INC,AWK,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Water Supply,mid
683,CENCORA INC,COR,Domestic Common Stock,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,large
698,AMERIGROUP CORP,AGP,Domestic Common Stock,Finance Insurance And Real Estate,Hospital & Medical Service Plans,mid
700,AMERIPRISE FINANCIAL INC,AMP,Domestic Common Stock,Finance Insurance And Real Estate,Investment Advice,large
716,AMETEK INC,AME,Domestic Common Stock,Manufacturing,Motors & Generators,large
726,AMGEN INC,AMGN,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),large
748,AMICUS THERAPEUTICS INC,FOLD,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
757,AMPHENOL CORP,APH,Domestic Common Stock,Manufacturing,Electronic Connectors,large
761,AMSURG CORP,AMSG,Domestic Common Stock Primary Class,Services,Services-Offices & Clinics Of Doctors Of Medicine,mid
767,ANACOR PHARMACEUTICALS INC,ANAC1,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
772,ANADARKO PETROLEUM CORP,APC,Domestic Common Stock Primary Class,Mining,Crude Petroleum & Natural Gas,large
795,ANALOG DEVICES INC,ADI,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,large
796,ANCESTRYCOM INC,ACOM,Domestic Common Stock,Services,Services-Computer Processing & Data Preparation,mid
800,ANHEUSER-BUSCH INBEV SA,BUD,ADR Common Stock,Manufacturing,Malt Beverages,mid
809,ANIKA THERAPEUTICS INC,ANIK,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,mid
810,ANN INC,ANN,Domestic Common Stock,Retail Trade,Retail-Women'S Clothing Stores,mid
822,ANNALY CAPITAL MANAGEMENT INC,NLY,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,large
824,ANNIE'S INC,BNNY,Domestic Common Stock,Manufacturing,Food And Kindred Products,mid
830,ANSYS INC,ANSS,Domestic Common Stock,Services,Services-Prepackaged Software,large
844,ELEVANCE HEALTH INC,ELV,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Hospital & Medical Service Plans,mid
848,APA CORP,APA,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,large
852,APOLLO EDUCATION GROUP INC,APOL,Domestic Common Stock Primary Class,Services,Services-Educational Services,large
858,APOLLO GLOBAL MANAGEMENT INC,AAM-PA,Domestic Preferred Stock,Finance Insurance And Real Estate,Investment Advice,mid
866,APPLE INC,AAPL,Domestic Common Stock,Manufacturing,Electronic Computers,large
890,APPLIED MATERIALS INC,AMAT,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,large
903,APPLIED MICRO CIRCUITS CORP,AMCC,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
912,APPLIED OPTOELECTRONICS INC,AAOI,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
915,APPROACH RESOURCES INC,AREXQ,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,mid
923,ARATANA THERAPEUTICS INC,PETX,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
926,ARCH COAL INC,ACIIQ,Domestic Common Stock,Mining,Bituminous Coal & Lignite Surface Mining,mid
930,ARCHER-DANIELS-MIDLAND CO,ADM,Domestic Common Stock,Manufacturing,Fats & Oils,large
938,ARIAD PHARMACEUTICALS INC,ARIA,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
947,ARISTA NETWORKS INC,ANET,Domestic Common Stock,Manufacturing,Computer Communications Equipment,mid
953,ARMSTRONG WORLD INDUSTRIES INC,AWI,Domestic Common Stock,Manufacturing,Plastics Products Nec,mid
957,ARQULE INC,ARQL,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
958,ARRAY BIOPHARMA INC,ARRY1,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
959,ARTHROCARE CORP,ARTC,Domestic Common Stock,Manufacturing,Electromedical & Electrotherapeutic Apparatus,mid
960,ARTISAN PARTNERS ASSET MANAGEMENT INC,APAM,Domestic Common Stock,Finance Insurance And Real Estate,Investment Advice,mid
961,ARUBA NETWORKS INC,ARUN,Domestic Common Stock,Manufacturing,Computer Peripheral Equipment Nec,mid
967,MAHWAH BERGEN RETAIL GROUP INC,ASNAQ,Domestic Common Stock,Retail Trade,Retail-Apparel & Accessory Stores,mid
971,ASPEN TECHNOLOGY INC,AZPN1,Domestic Common Stock,Services,Services-Computer Programming Services,mid
984,ASTRAZENECA PLC,AZN,ADR Common Stock,Manufacturing,Pharmaceutical Preparations,large
989,ATARA BIOTHERAPEUTICS INC,ATRA,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
990,ATHENAHEALTH INC,ATHN1,Domestic Common Stock,Services,Services-Business Services Nec,mid
1001,ATMEL CORP,ATML,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
1003,AURICO GOLD INC,AUQ,Canadian Common Stock,Mining,Gold And Silver Ores,mid
1008,AUTODESK INC,ADSK,Domestic Common Stock,Services,Services-Prepackaged Software,large
1015,AUTOMATIC DATA PROCESSING INC,ADP,Domestic Common Stock,Services,Services-Computer Processing & Data Preparation,large
1026,AUTONATION INC,AN,Domestic Common Stock,Retail Trade,Retail-Auto Dealers & Gasoline Stations,mid
1027,AUTOZONE INC,AZO,Domestic Common Stock,Retail Trade,Retail-Auto & Home Supply Stores,large
1039,AUXILIUM PHARMACEUTICALS INC,AUXL,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1046,AVALONBAY COMMUNITIES INC,AVB,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,large
1054,AVEXIS INC,AVXS,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),small
1057,AVIS BUDGET GROUP INC,CAR,Domestic Common Stock,Services,Services-Auto Rental & Leasing (No Drivers),mid
1063,AVNET INC,AVT,Domestic Common Stock,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,large
1064,AVON PRODUCTS INC,AVP,Domestic Common Stock,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,large
1066,B&G FOODS INC,BGS,Domestic Common Stock,Manufacturing,Food And Kindred Products,mid
1076,BCE INC,BCE,Canadian Common Stock,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),large
1080,BMC SOFTWARE INC,BMC,Domestic Common Stock,Services,Services-Prepackaged Software,large
1081,BAIDU INC,BIDU,ADR Common Stock,Services,Services-Computer Programming Data Processing Etc.,large
1092,BAKER HUGHES INC,BHI,Domestic Common Stock,Manufacturing,Oil & Gas Field Machinery & Equipment,large
1108,BAKER HUGHES CO,BKR,Domestic Common Stock,Manufacturing,Oil & Gas Field Machinery & Equipment,small
1109,BALCHEM CORP,BCPC,Domestic Common Stock,Manufacturing,Chemicals & Allied Products,mid
1120,BALL CORP,BALL,Domestic Common Stock,Manufacturing,Metal Cans,large
1131,BANK OF AMERICA CORP,BAC,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,National Commercial Banks,mid
1152,BANK OF NOVA SCOTIA,BNS,Canadian Common Stock,Finance Insurance And Real Estate,State Commercial Banks,mid
1158,BARD C R INC,BCR,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,large
1168,BARNES GROUP INC,B,Domestic Common Stock,Manufacturing,Miscellaneous Fabricated Metal Products,mid
1173,BARRICK GOLD CORP,GOLD,Canadian Common Stock,Mining,Gold And Silver Ores,large
1179,BARRACUDA NETWORKS INC,CUDA,Domestic Common Stock,Manufacturing,Computer Peripheral Equipment Nec,mid
1180,BAXALTA INC,BXLT,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1181,BAXTER INTERNATIONAL INC,BAX,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,large
1193,B/E AEROSPACE INC,BEAV,Domestic Common Stock,Manufacturing,Public Bldg & Related Furniture,mid
1200,BEACON ROOFING SUPPLY INC,BECN,Domestic Common Stock,Wholesale Trade,Wholesale-Lumber & Other Construction Materials,mid
1207,BEAM INC,BEAM2,Domestic Common Stock,Manufacturing,Beverages,mid
1217,BECTON DICKINSON & CO,BDX,Domestic Common Stock Primary Class,Manufacturing,Surgical & Medical Instruments & Apparatus,large
1226,BED BATH & BEYOND INC,BBBYQ,Domestic Common Stock,Retail Trade,Retail-Home Furniture Furnishings & Equipment Stores,large
1236,BELDEN INC,BDC,Domestic Common Stock Primary Class,Manufacturing,Drawing & Insulating Of Nonferrous Wire,mid
1244,BELLICUM PHARMACEUTICALS INC,BLCM,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1251,BERKSHIRE HATHAWAY INC,BRK.B,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,large
1266,BERRY PETROLEUM CO,BRY1,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,mid
1274,BERRY GLOBAL GROUP INC,BERY,Domestic Common Stock,Manufacturing,Plastics Products Nec,mid
1279,BEST BUY CO INC,BBY,Domestic Common Stock,Retail Trade,Retail-Radio Tv & Consumer Electronics Stores,large
1281,BIOMARIN PHARMACEUTICAL INC,BMRN,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1301,BIOGEN INC,BIIB,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),large
1321,BIOTELEMETRY INC,BEAT1,Domestic Common Stock,Services,Services-Specialty Outpatient Facilities Nec,mid
1322,BIO-TECHNE CORP,TECH,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
1333,BIOVERATIV INC,BIVV,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1336,BLACKBAUD INC,BLKB,Domestic Common Stock,Services,Services-Prepackaged Software,mid
1347,BLACKHAWK NETWORK HOLDINGS INC,HAWK,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Finance Services,mid
1350,BLACKROCK INC,BLK,Domestic Common Stock,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,large
1366,BLACKSTONE MORTGAGE TRUST INC,BXMT,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
1376,BLOOMIN' BRANDS INC,BLMN,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
1379,BLUEBIRD BIO INC,BLUE,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
1395,BLUEPRINT MEDICINES CORP,BPMC,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1397,BOEING CO,BA,Domestic Common Stock,Manufacturing,Aircraft,large
1421,BOISE CASCADE CO,BCC,Domestic Common Stock,Wholesale Trade,Wholesale-Lumber & Other Construction Materials,mid
1422,BORGWARNER INC,BWA,Domestic Common Stock,Manufacturing,Motor Vehicle Parts & Accessories,large
1435,BOSTON BEER CO INC,SAM,Domestic Common Stock,Manufacturing,Malt Beverages,mid
1438,BOSTON PRIVATE FINANCIAL HOLDINGS INC,BPFH,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,State Commercial Banks,mid
1443,BOSTON PROPERTIES INC,BXP,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,large
1445,BOSTON SCIENTIFIC CORP,BSX,Domestic Common Stock Primary Class,Manufacturing,Surgical & Medical Instruments & Apparatus,large
1454,BRINKER INTERNATIONAL INC,EAT,Domestic Common Stock,Retail Trade,Retail-Eating  Places,large
1457,BRISTOL MYERS SQUIBB CO,BMY,Domestic Common Stock Primary Class,Manufacturing,Pharmaceutical Preparations,large
1480,BRISTOW GROUP INC,BRSWQ,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,mid
1486,BROADCOM CORP,BRCM,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,large
1503,BROADSOFT INC,BSFT,Domestic Common Stock,Services,Services-Prepackaged Software,mid
1512,BROADRIDGE FINANCIAL SOLUTIONS INC,BR,Domestic Common Stock,Services,Services-Business Services Nec,mid
1524,BROOKFIELD CORP,BN,Canadian Common Stock Primary Class,Finance Insurance And Real Estate,Operators Of Nonresidential Buildings,mid
1532,BROWN & BROWN INC,BRO,Domestic Common Stock,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,mid
1537,BROWN FORMAN CORP,BF.B,Domestic Common Stock Primary Class,Manufacturing,Beverages,large
1549,BRUKER CORP,BRKR,Domestic Common Stock,Manufacturing,Laboratory Analytical Instruments,mid
1554,BRUNSWICK CORP,BC,Domestic Common Stock Primary Class,Manufacturing,Engines & Turbines,large
1571,BUFFALO WILD WINGS INC,BWLD,Domestic Common Stock,Retail Trade,Retail-Eating  Places,mid
1576,BURLINGTON STORES INC,BURL,Domestic Common Stock,Retail Trade,Retail-Department Stores,mid
1589,CBOE GLOBAL MARKETS INC,CBOE,Domestic Common Stock,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,mid
1594,CBRE GROUP INC,CBRE,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate,mid
1603,CF INDUSTRIES HOLDINGS INC,CF,Domestic Common Stock,Manufacturing,Agricultural Chemicals,large
1609,C H ROBINSON WORLDWIDE INC,CHRW,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Arrangement Of Transportation Of Freight & Cargo,large
1610,CME GROUP INC,CME,Domestic Common Stock,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,large
1628,CMS ENERGY CORP,CMS,Domestic Common Stock Primary Class,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,large
1631,CSX CORP,CSX,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Railroads Line-Haul Operating,large
1650,CVS HEALTH CORP,CVS,Domestic Common Stock,Retail Trade,Retail-Drug Stores And Proprietary Stores,large
1674,CABELAS INC,CAB,Domestic Common Stock,Retail Trade,Retail-Miscellaneous Shopping Goods Stores,mid
1677,CABLEVISION SYSTEMS CORP,CVC,Domestic Common Stock Primary Class,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,large
1679,COTERRA ENERGY INC,CTRA,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,large
1692,CADENCE DESIGN SYSTEMS INC,CDNS,Domestic Common Stock,Services,Services-Prepackaged Software,large
1702,CAL DIVE INTERNATIONAL INC,CDVIQ,Domestic Common Stock,Mining,Oil & Gas Field Services Nec,mid
1703,CALAMP CORP,CAMP,Domestic Common Stock,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,mid
1707,CALATLANTIC GROUP INC,CAA,Domestic Common Stock,Construction,Operative Builders,mid
1708,CALGON CARBON CORP,CCC1,Domestic Common Stock,Manufacturing,Industrial Inorganic Chemicals,mid
1718,CALITHERA BIOSCIENCES INC,CALA,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
1726,CAMBREX CORP,CBM,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1727,CAMDEN PROPERTY TRUST,CPT,Domestic Common Stock,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
1729,CAMERON INTERNATIONAL CORP,CAM,Domestic Common Stock,Manufacturing,Oil & Gas Field Machinery & Equipment,large
1743,CAMPBELL SOUP CO,CPB,Domestic Common Stock,Manufacturing,Food And Kindred Products,large
1748,CANADA GOOSE HOLDINGS INC,GOOS,ADR Common Stock,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,small
1751,CANADIAN IMPERIAL BANK OF COMMERCE,CM,Canadian Common Stock,Finance Insurance And Real Estate,Commercial Banks Nec,mid
1763,CANADIAN NATIONAL RAILWAY CO,CNI,Canadian Common Stock,Transportation Communications Electric Gas And Sanitary Service,Railroads Line-Haul Operating,large
1771,CANADIAN PACIFIC KANSAS CITY LTD,CP,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Railroads Line-Haul Operating,mid
1772,CANTEL MEDICAL CORP,CMD,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,mid
1783,CAPITAL ONE FINANCIAL CORP,COF,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,National Commercial Banks,large
1795,CAPSTEAD MORTGAGE CORP,CMO,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Real Estate Investment Trusts,mid
1796,CARA THERAPEUTICS INC,CARA,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1797,CARDINAL HEALTH INC,CAH,Domestic Common Stock,Wholesale Trade,Wholesale-Drugs Proprietaries & Druggists' Sundries,large
1810,CARDIOVASCULAR SYSTEMS INC,CSII,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,mid
1812,CARECOM INC,CRCM,Domestic Common Stock,Services,Services-Personal Services,mid
1814,CARMAX INC,KMX,Domestic Common Stock,Retail Trade,Retail-Auto Dealers & Gasoline Stations,large
1817,CARNIVAL CORP,CCL,Domestic Common Stock Primary Class,Transportation Communications Electric Gas And Sanitary Service,Water Transportation,large
1824,CARRIZO OIL & GAS INC,CRZO,Domestic Common Stock,Mining,Crude Petroleum & Natural Gas,mid
1829,CARTERS INC,CRI,Domestic Common Stock,Manufacturing,Apparel & Other Finishd Prods Of Fabrics & Similar Matl,mid
1833,ASTRIA THERAPEUTICS INC,ATXS,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,small
1839,CATAMARAN CORP,CTRX,Domestic Common Stock,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,mid
1848,CATALYST HEALTH SOLUTIONS INC,CHSI,Domestic Common Stock,Finance Insurance And Real Estate,Insurance Agents Brokers & Service,mid
1851,CATERPILLAR INC,CAT,Domestic Common Stock,Manufacturing,Construction Machinery & Equip,large
1862,CAVIUM INC,CAVM,Domestic Common Stock,Manufacturing,Semiconductors & Related Devices,mid
1878,CELANESE CORP,CE,Domestic Common Stock,Manufacturing,Plastic Material Synth Resin/Rubber Cellulos (No Glass),mid
1891,CELGENE CORP,CELG,Domestic Common Stock Primary Class,Manufacturing,Pharmaceutical Preparations,large
1911,CELLDEX THERAPEUTICS INC,CLDX,Domestic Common Stock,Manufacturing,In Vitro & In Vivo Diagnostic Substances,mid
1924,CEMEX SAB DE CV,CX,ADR Common Stock,Manufacturing,Cement Hydraulic,mid
1936,CEMPRA INC,CEMP,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
1940,CENTENE CORP,CNC,Domestic Common Stock,Finance Insurance And Real Estate,Hospital & Medical Service Plans,mid
